candle,total_usdt
2026-07-02 00:00,1000.00
2026-07-02 08:00,1019.34
2026-07-03 08:00,1038.34
2026-07-03 12:00,1033.92
2026-07-03 16:00,1043.74
2026-07-03 20:00,1047.80
2026-07-04 00:00,1048.86
2026-07-04 04:00,1049.36
2026-07-04 08:00,1045.05
2026-07-04 12:00,1055.98
2026-07-04 16:00,1056.77
2026-07-04 20:00,1053.13
2026-07-05 00:00,1041.96
2026-07-05 04:00,1045.74
2026-07-05 08:00,1041.10
2026-07-05 12:00,1047.85
2026-07-05 16:00,1048.03
2026-07-05 20:00,1056.02
2026-07-06 00:00,1049.53
2026-07-06 04:00,1046.99
2026-07-06 08:00,1039.29
2026-07-06 12:00,1055.67
2026-07-06 16:00,1059.99
2026-07-06 20:00,1062.47
2026-07-07 00:00,1048.37
2026-07-07 04:00,1049.62
2026-07-07 08:00,1052.56
2026-07-07 12:00,1062.16
2026-07-07 16:00,1056.99
2026-07-07 20:00,1047.30
2026-07-08 00:00,1032.20
2026-07-08 04:00,1031.96
2026-07-08 08:00,1023.92
2026-07-08 12:00,1012.16
2026-07-08 16:00,1021.79
2026-07-08 20:00,1024.12
2026-07-09 00:00,1017.88
2026-07-09 04:00,1031.59
2026-07-09 08:00,1025.99
2026-07-09 12:00,1025.61
2026-07-09 16:00,1031.71
2026-07-09 20:00,1030.47
2026-07-10 00:00,1045.04
2026-07-10 04:00,1043.68
2026-07-10 08:00,1053.98
2026-07-10 12:00,1044.65
2026-07-10 16:00,1043.25
2026-07-10 20:00,1046.44
2026-07-11 00:00,1044.87
2026-07-11 04:00,1046.54
2026-07-11 08:00,1047.38
2026-07-11 12:00,1051.23
2026-07-11 16:00,1052.80
2026-07-11 20:00,1037.05
2026-07-12 00:00,1045.15
2026-07-12 04:00,1038.47
2026-07-12 08:00,1042.07
2026-07-12 12:00,1048.58
2026-07-12 16:00,1049.89
2026-07-12 20:00,1041.26
2026-07-13 00:00,1026.12
2026-07-13 04:00,1030.98
2026-07-13 08:00,1028.71
2026-07-13 12:00,1024.16
2026-07-13 16:00,1019.35
2026-07-13 20:00,1019.16
2026-07-14 00:00,1022.47
2026-07-14 04:00,1021.14
2026-07-14 08:00,1027.95
2026-07-14 12:00,1062.38
2026-07-14 16:00,1060.85
2026-07-14 20:00,1069.48
2026-07-15 00:00,1064.51
2026-07-15 04:00,1060.43
2026-07-15 08:00,1064.82
2026-07-15 12:00,1080.57
2026-07-15 16:00,1072.76
2026-07-15 20:00,1070.74
2026-07-16 00:00,1068.72
2026-07-16 04:00,1062.71
2026-07-16 08:00,1057.10
